filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Danse-sacree-et-danse-profane.mp3,0.21991686522960663,0.021345587447285652,1336.1588849364782,1684.1170948096164,2697.2170236309985,0.052122133804179564,-387.9918518066406,112.27696990966797,-20.302942276000977,36.10450744628906,16.251188278198242,0.6509365439414978,6.667792797088623,3.0589849948883057,-0.46460896730422974,2.9309115409851074,-3.1583120822906494,0.6714089512825012,-0.7858770489692688,0.8849209547042847,0.7896623611450195,4.959183216094971,3.443910837173462,2.650015354156494,1.4347609281539917,0.5646317005157471
Dream-a-Little-Dream.mp3,0.245498925447464,0.016367197036743164,3064.1552197571336,2700.7519342923983,6339.961663119195,0.1304164449496904,-389.95074462890625,39.8176383972168,-1.3154151439666748,3.700474500656128,-20.479501724243164,-6.004988193511963,-25.735366821289062,-0.09938337653875351,-22.033477783203125,-4.121429920196533,-7.991120338439941,-1.7815462350845337,-8.852655410766602,-0.3404436409473419,-13.959299087524414,-6.087229251861572,-15.392671585083008,2.697695016860962,-1.224221110343933,6.6844658851623535
Early_Morning_In_The_Rainforest_-_Ken_Davis.mp3,0.30227676033973694,0.05907493457198143,2517.6902528436067,2211.902186451728,5053.336109834559,0.15003461808243035,-183.3673553466797,82.49867248535156,-29.988039016723633,20.858816146850586,-25.4266300201416,2.7098233699798584,-14.17862606048584,-0.607965350151062,-16.528039932250977,-10.474844932556152,0.014541862532496452,-8.19383430480957,-4.609575271606445,6.230349540710449,-9.534185409545898,16.251768112182617,-0.659949541091919,12.403865814208984,8.400964736938477,-2.346587896347046
Edvard_Grieg_-_Cradle_Song.mp3,0.20385079085826874,0.020179850980639458,408.4746156126079,464.32313224860724,602.5130233528445,0.028716757570626934,-503.3473205566406,148.0984649658203,53.31116485595703,7.652813911437988,3.8607254028320312,3.6608996391296387,-4.350003719329834,-11.867481231689453,-12.22724723815918,-8.466791152954102,-6.255630970001221,-3.274583339691162,-1.8413770198822021,-4.360330581665039,-4.717164039611816,-5.03651762008667,-6.064488887786865,-4.978925704956055,-4.860374927520752,-5.983054161071777
Ennio-Morricone.mp3,0.21173234283924103,0.07916013896465302,1057.5566208522264,1386.7441659245371,1771.4976213295763,0.054794075319272446,-268.4447021484375,159.21119689941406,-16.73813247680664,8.038710594177246,-1.32667076587677,-4.078299522399902,-8.671669006347656,-5.9418487548828125,-9.782649040222168,-6.746069431304932,-11.667606353759766,-6.474722862243652,-9.765328407287598,-8.92765998840332,-6.95494270324707,-2.860222578048706,-4.921463966369629,-0.011160340160131454,-2.9756224155426025,-1.173997163772583
Enya_-_(1988)_Watermark_-_01_Watermark.mp3,0.246892511844635,0.03170343488454819,687.8859138790262,880.4798471876458,1183.8428414642995,0.038233706825657895,-370.4935302734375,192.59127807617188,-2.0772111415863037,11.97777271270752,7.724281311035156,1.2972960472106934,2.820551872253418,-1.6724200248718262,-1.6550986766815186,-3.5591065883636475,-4.750857830047607,-3.0654451847076416,-0.12148658186197281,-1.283734917640686,-1.1392829418182373,-1.5071228742599487,-2.4566469192504883,-4.474597930908203,-6.306516170501709,-4.693095684051514
Enya_-_Only_Time_(Official_Music_Video).mp3,0.3328450322151184,0.05131247267127037,1274.8607476665227,1933.1474271369573,2663.933891556211,0.040198925478908666,-318.053466796875,140.31138610839844,16.200111389160156,27.943727493286133,25.082651138305664,-0.0038667565677314997,9.206687927246094,5.62969446182251,6.787574291229248,3.8606808185577393,-3.498300075531006,5.108241081237793,-4.491246700286865,-1.1249531507492065,-3.9019088745117188,-4.769106388092041,-2.423833131790161,-4.244688987731934,-3.256215810775757,3.642219066619873
Et-In-Terra-Pax-Antonio-Vivaldi.mp3,0.2931583821773529,0.014269162900745869,1003.269623265247,1355.4704349354092,1975.6463868699207,0.04816486370452786,-433.0215759277344,161.24513244628906,-9.77064323425293,42.13786315917969,11.886688232421875,3.741116523742676,3.4038245677948,4.602753639221191,5.44300651550293,2.6047754287719727,-7.864786148071289,-2.652930736541748,-1.4817662239074707,-1.8075244426727295,-3.4194297790527344,-0.8178985714912415,-5.211339473724365,-3.9042398929595947,-2.897200584411621,-1.5667681694030762
Eventide.mp3,0.3619798719882965,0.014817971736192703,2274.5554207750674,1994.9168677323537,4536.11423740446,0.130484471749226,-341.2029724121094,90.39490509033203,-41.27615737915039,25.37346649169922,-33.53069305419922,9.537195205688477,-16.14965057373047,1.9524885416030884,-15.23435115814209,-10.603180885314941,-10.143714904785156,-8.787750244140625,-2.6903135776519775,1.1052182912826538,6.666609764099121,0.665278971195221,5.122861385345459,0.8867124319076538,7.621595859527588,6.335174560546875
Everytime.mp3,0.26947933435440063,0.03611261025071144,1317.018916526988,1507.6061905893282,2446.7352049269543,0.06472447634481424,-363.50836181640625,169.1047821044922,11.898180961608887,-8.565643310546875,-4.641878604888916,-6.370393753051758,-9.237580299377441,-14.536497116088867,-14.840986251831055,-8.777837753295898,-9.818889617919922,-4.091156482696533,-8.000524520874023,-6.751864910125732,-5.458642959594727,-2.359609365463257,-3.732706069946289,-0.4023932218551636,-2.134857177734375,3.5013136863708496
